GeneID	WT_1	WT_2	WT_3	WT_4	JmjC_1	JmjC_2	JmjC_3	JmjC_4
FBgn0033320	0	0	0	0	3	0	0	1
FBgn0037191	3	6	11	1	5	3	5	3
FBgn0051156	544	458	600	436	526	493	533	527
FBgn0004635	541	452	575	432	531	509	639	548
FBgn0038397	2	1	0	2	1	0	1	3
FBgn0261992	0	7	0	3	1	1	0	1
FBgn0010583	5664	5481	5318	5605	5172	5505	5337	4960
FBgn0032906	593	539	660	630	557	536	611	544
FBgn0031321	380	340	349	340	361	344	351	330
FBgn0052568	0	0	6	0	0	0	0	0
FBgn0085397	1415	1398	1497	1316	1332	1253	1296	1223
FBgn0030674	10115	9106	9601	10494	9235	9569	8733	6032
FBgn0263232	438	418	417	405	565	601	529	559
FBgn0061362	140	124	108	127	125	141	126	137
FBgn0038427	1232	1171	1214	1273	1259	1272	1278	1343
FBgn0033233	733	708	729	643	711	711	783	735
FBgn0033736	0	2	2	2	5	2	6	4
FBgn0031885	1278	1190	1252	1143	1350	1247	1099	1435
FBgn0020503	1717	1803	1870	1779	1644	1517	1487	1639
FBgn0267983	0	2	0	1	0	0	1	0
FBgn0067864	802	731	796	823	705	721	702	610
FBgn0051439	1	0	9	3	239	3	3	1
FBgn0035785	10	15	13	29	3	6	17	12
FBgn0039673	3	1	1	1	0	3	3	0
FBgn0051717	493	444	501	443	473	396	515	386
FBgn0030748	3	4	4	4	4	5	10	1
FBgn0002732	47	41	107	32	48	41	27	63
FBgn0039207	871	920	976	945	1132	1093	1314	895
FBgn0031751	5	10	12	7	21	12	9	9
FBgn0266438	209	208	231	208	228	237	194	194
FBgn0266599	54113	53359	55040	54149	49125	49272	50305	45192
FBgn0250868	381	348	351	362	364	326	452	359
FBgn0266705	101	96	85	83	100	114	91	118
FBgn0052816	9	15	13	5	9	5	8	20
FBgn0040005	2464	2331	2287	2203	2407	2153	2483	2424
FBgn0040477	34	24	29	29	25	28	30	43
FBgn0039328	154	111	162	178	77	57	78	85
FBgn0029727	1	0	0	1	0	0	0	0
FBgn0029524	93	62	82	76	111	99	114	105
FBgn0066084	14819	12821	13096	17012	12806	12068	18744	14710
FBgn0003930	0	0	0	2	0	0	0	0
FBgn0000053	688	563	779	815	872	860	725	897
FBgn0030038	3231	2946	3241	2947	2947	2823	3231	2675
FBgn0052712	0	0	1	0	1	1	1	1
FBgn0031554	0	0	2	0	0	0	1	0
FBgn0267795	3693	3668	3867	3639	4035	4033	4354	3924
FBgn0034162	40	41	41	47	15	39	41	32
FBgn0005632	10241	9911	10463	10887	9948	10365	9845	9468
FBgn0034860	90	91	85	103	73	81	69	102
FBgn0259979	2100	2155	2150	1972	2055	1774	2260	2011
FBgn0051140	11349	10721	10818	11473	11848	12432	10708	11400
FBgn0038959	8	0	0	0	0	0	0	0
FBgn0034138	16316	14777	16623	15425	15155	14716	16397	15134
FBgn0003388	16	18	25	21	15	29	38	22
FBgn0034945	270	204	207	205	209	201	232	213
FBgn0033272	879	822	953	841	811	790	886	863
FBgn0050428	3240	3068	2987	3115	3623	3528	3254	4012
FBgn0033556	311	280	289	293	303	268	290	277
FBgn0027341	168	155	307	149	95	107	113	171
FBgn0261804	1181	996	991	1177	1146	1154	831	1172
FBgn0029606	7	8	4	11	12	11	10	5
FBgn0036465	1	1	1	1	0	0	0	0
FBgn0037100	15	28	23	30	16	14	17	27
FBgn0027610	784	775	903	1007	836	945	735	1068
FBgn0266019	3480	3303	3135	3154	3678	3779	3628	3277
FBgn0038834	13241	11834	12981	12372	12022	11779	13581	12149
FBgn0027550	1566	1493	1492	1634	1672	1735	1637	1440
FBgn0030992	0	2	0	0	2	1	2	2
FBgn0039198	2	2	2	6	2	5	5	0
FBgn0037109	1952	1880	2003	2110	2081	2109	1804	1821
FBgn0019686	270	245	239	265	256	231	228	242
FBgn0052251	228	233	260	239	235	187	234	243
FBgn0031987	332	332	339	328	288	283	356	350
FBgn0034548	0	1	1	0	0	0	0	0
FBgn0267551	0	0	0	3	16	3	10	10
FBgn0262576	0	0	1	1	1	1	0	0
FBgn0053217	1835	2061	1907	1754	2173	1940	2037	2226
FBgn0038092	745	717	702	665	598	655	602	572
FBgn0037010	918	903	948	911	1016	988	963	946
FBgn0034477	0	3	3	4	1	1	1	0
FBgn0037895	543	504	639	597	480	577	530	591
FBgn0029705	0	0	4	0	0	0	0	1
FBgn0038437	131	120	134	122	95	98	107	95
FBgn0053178	0	0	0	0	14	10	6	12
FBgn0038389	502	485	476	439	469	445	534	449
FBgn0031426	5	2	1	6	1	4	4	2
FBgn0267579	10	15	11	8	16	28	12	22
FBgn0040784	0	0	0	0	0	0	0	1
FBgn0038760	983	872	920	850	864	808	885	873
FBgn0052450	0	0	1	0	0	0	0	0
FBgn0028671	7821	7190	6896	7654	7242	7539	7139	7023
FBgn0054043	5	2	3	0	2	0	5	2
FBgn0015614	1321	1180	1324	1254	1280	1191	1307	1280
FBgn0264464	0	1	0	0	5	0	3	4
FBgn0037009	334	345	357	367	269	286	308	334
FBgn0028717	1534	1553	1523	1643	1681	1711	1506	1638
FBgn0032450	278	262	291	294	250	264	258	279
